rank,edits
637,93113
638,92904
639,92856
640,92814
641,92685
642,92267
643,92237
644,92059
645,91877
646,91856
647,91799
648,91754
649,91731
650,91550
651,91517
652,91497
653,91462
654,91444
655,91427
656,91375
657,91361
658,91322
659,91302
660,91274
661,91196
662,91072
663,91008
664,90767
665,90738
666,90735
667,90728
668,90692
669,90673
670,90456
671,90395
672,90229
673,90222
674,90217
675,90208
676,90138
677,90045
678,89945
679,89864
680,89822
681,89744
682,89728
683,89471
684,89301
685,89295
686,89142
687,89106
688,89090
689,88878
690,88853
691,88810
692,88669
693,88520
694,88298
695,88265
696,88166
697,88102
698,88091
699,88043
700,87870
701,87856
702,87787
703,87731
704,87713
705,87675
706,87668
707,87616
708,87594
709,87593
710,87470
711,87252
712,87238
713,87237
714,87122
715,87108
716,86949
717,86927
718,86850
719,86806
720,86675
721,86626
722,86621
723,86553
724,86543
725,86501
726,86443
727,86323
728,86306
729,86244
730,86215
731,86209
732,86179
733,86046
734,86001
735,85764
736,85730
737,85691
738,85667
739,85536
740,85434
741,85319
742,85283
743,85137
744,85106
745,85010
746,84856
747,84810
748,84678
749,84633
750,84572
751,84422
752,84305
753,84057
754,84057
755,83961
756,83746
757,83602
758,83515
759,83484
760,83368
761,83243
762,82962
763,82957
764,82747
765,82732
766,82705
767,82587
768,82545
769,82366
770,82351
771,82275
772,82235
773,82171
774,81861
775,81844
776,81837
777,81833
778,81810
779,81789
780,81697
781,81684
782,81651
783,81579
784,81538
785,81498
786,81362
787,81353
788,81333
789,81329
790,81280
791,81152
792,81039
793,80939
794,80876
795,80829
796,80740
797,80701
798,80658
799,80550
800,80546
801,80539
802,80420
803,80352
804,80325
805,80311
806,80257
807,80245
808,80208
809,80205
810,80145
811,80141
812,80015
813,79946
814,79732
815,79705
816,79654
817,79634
818,79603
819,79498
820,79401
821,79387
822,79302
823,79236
824,79197
825,79168
826,79166
827,79138
828,78918
829,78857
830,78741
831,78733
832,78688
833,78675
834,78636
835,78620
836,78542
837,78533
838,78528
839,78357
840,78291
841,78284
842,78239
843,78225
844,78123
845,78036
846,77983
847,77943
848,77905
849,77892
850,77874
851,77866
852,77687
853,77638
854,77615
855,77387
856,77353
857,77257
858,77209
859,76997
860,76837
861,76657
862,76562
863,76523
864,76472
865,76442
866,76412
867,76296
868,76286
869,76272
870,76187
871,76062
872,76060
873,76025
874,76001
875,75735
876,75712
877,75683
878,75645
879,75531
880,75418
881,75368
882,75259
883,75216
884,75124
885,74916
886,74910
887,74862
888,74782
889,74732
890,74563
891,74487
892,74476
893,74448
894,74445
895,74439
896,74366
897,74347
898,74333
899,74230
900,74230
901,74223
902,74157
903,74123
904,73983
905,73931
906,73926
907,73869
908,73809
909,73734
910,73587
911,73541
912,73400
913,73294
914,73279
915,73263
916,73175
917,73149
918,73131
919,73113
920,73006
921,72966
922,72962
923,72946
924,72909
925,72901
926,72881
927,72880
928,72846
929,72829
930,72785
931,72763
932,72731
933,72668
934,72525
935,72389
936,72228
937,72200
938,72174
939,72173
940,72136
941,72100
942,72028
943,71889
944,71863
945,71813
946,71800
947,71758
948,71737
949,71691
950,71605
951,71435
952,71360
953,71246
954,71168
955,71078
956,71062
957,70990
958,70963
959,70962
960,70953
961,70929
